PLZ;Bundesland;Kreis;Typ
38165;Niedersachsen;Helmstedt;Kreis
38170;Niedersachsen;Wolfenbüttel;Kreis
38173;Niedersachsen;Wolfenbüttel;Kreis
38176;Niedersachsen;Peine;Kreis
38179;Niedersachsen;Gifhorn;Kreis
38226;Niedersachsen;Salzgitter;Stadt
38228;Niedersachsen;Salzgitter;Stadt
38229;Niedersachsen;Salzgitter;Stadt
38239;Niedersachsen;Salzgitter;Stadt
38259;Niedersachsen;Salzgitter;Stadt
38268;Niedersachsen;Peine;Kreis
38271;Niedersachsen;Wolfenbüttel;Kreis
38272;Niedersachsen;Wolfenbüttel;Kreis
38274;Niedersachsen;Wolfenbüttel;Kreis
38275;Niedersachsen;Wolfenbüttel;Kreis
38277;Niedersachsen;Wolfenbüttel;Kreis
38279;Niedersachsen;Wolfenbüttel;Kreis
38300;Niedersachsen;Wolfenbüttel;Kreis
38302;Niedersachsen;Wolfenbüttel;Kreis
38304;Niedersachsen;Wolfenbüttel;Kreis
38312;Niedersachsen;Wolfenbüttel;Kreis
38315;Niedersachsen;Wolfenbüttel;Kreis
38319;Niedersachsen;Wolfenbüttel;Kreis
38321;Niedersachsen;Wolfenbüttel;Kreis
38322;Niedersachsen;Wolfenbüttel;Kreis
38324;Niedersachsen;Wolfenbüttel;Kreis
38325;Niedersachsen;Wolfenbüttel;Kreis
38327;Niedersachsen;Wolfenbüttel;Kreis
38329;Niedersachsen;Wolfenbüttel;Kreis
38350;Niedersachsen;Helmstedt;Kreis
38364;Niedersachsen;Helmstedt;Kreis
38368;Niedersachsen;Helmstedt;Kreis
38372;Niedersachsen;Helmstedt;Kreis
38373;Niedersachsen;Helmstedt;Kreis
38375;Niedersachsen;Helmstedt;Kreis
38376;Niedersachsen;Helmstedt;Kreis
38378;Niedersachsen;Helmstedt;Kreis
38379;Niedersachsen;Helmstedt;Kreis
38381;Niedersachsen;Helmstedt;Kreis
38382;Niedersachsen;Helmstedt;Kreis
38384;Niedersachsen;Helmstedt;Kreis
38385;Niedersachsen;Helmstedt;Kreis
38387;Niedersachsen;Helmstedt;Kreis
38388;Niedersachsen;Helmstedt;Kreis
38440;Niedersachsen;Wolfsburg;Stadt
38442;Niedersachsen;Wolfsburg;Stadt
38444;Niedersachsen;Wolfsburg;Stadt
38446;Niedersachsen;Wolfsburg;Stadt
38448;Niedersachsen;Wolfsburg;Stadt
38458;Niedersachsen;Helmstedt;Kreis
38459;Niedersachsen;Helmstedt;Kreis
38461;Niedersachsen;Helmstedt;Kreis
38462;Niedersachsen;Helmstedt;Kreis
38464;Niedersachsen;Helmstedt;Kreis
38465;Niedersachsen;Gifhorn;Kreis
38467;Niedersachsen;Gifhorn;Kreis
38468;Niedersachsen;Gifhorn;Kreis
38470;Niedersachsen;Gifhorn;Kreis
38471;Niedersachsen;Gifhorn;Kreis
38473;Niedersachsen;Gifhorn;Kreis
38474;Niedersachsen;Gifhorn;Kreis
38476;Niedersachsen;Gifhorn;Kreis
38477;Niedersachsen;Gifhorn;Kreis
38479;Niedersachsen;Gifhorn;Kreis
38518;Niedersachsen;Gifhorn;Kreis
38524;Niedersachsen;Gifhorn;Kreis
38527;Niedersachsen;Gifhorn;Kreis
38528;Niedersachsen;Gifhorn;Kreis
38530;Niedersachsen;Gifhorn;Kreis
38531;Niedersachsen;Gifhorn;Kreis
38533;Niedersachsen;Gifhorn;Kreis
38536;Niedersachsen;Gifhorn;Kreis
38539;Niedersachsen;Gifhorn;Kreis
38542;Niedersachsen;Gifhorn;Kreis
38543;Niedersachsen;Gifhorn;Kreis
38547;Niedersachsen;Gifhorn;Kreis
38550;Niedersachsen;Gifhorn;Kreis
38551;Niedersachsen;Gifhorn;Kreis
38553;Niedersachsen;Gifhorn;Kreis
38554;Niedersachsen;Gifhorn;Kreis
38556;Niedersachsen;Gifhorn;Kreis
38557;Niedersachsen;Gifhorn;Kreis
38559;Niedersachsen;Gifhorn;Kreis
38640;Niedersachsen;Goslar;Kreis
38642;Niedersachsen;Goslar;Kreis
38644;Niedersachsen;Goslar;Kreis
38667;Niedersachsen;Goslar;Kreis
38678;Niedersachsen;Goslar;Kreis
38685;Niedersachsen;Goslar;Kreis
38690;Niedersachsen;Goslar;Kreis
38700;Niedersachsen;Goslar;Kreis
38704;Niedersachsen;Goslar;Kreis
38707;Niedersachsen;Goslar;Kreis
38709;Niedersachsen;Goslar;Kreis
38723;Niedersachsen;Goslar;Kreis
38729;Niedersachsen;Goslar;Kreis
48455;Niedersachsen;Grafschaft Bentheim;Kreis
48465;Niedersachsen;Grafschaft Bentheim;Kreis
48480;Niedersachsen;Emsland;Kreis
48488;Niedersachsen;Emsland;Kreis
48499;Niedersachsen;Emsland;Kreis
48527;Niedersachsen;Grafschaft Bentheim;Kreis
48529;Niedersachsen;Grafschaft Bentheim;Kreis
48531;Niedersachsen;Grafschaft Bentheim;Kreis
49074;Niedersachsen;Osnabrück;Stadt
49076;Niedersachsen;Osnabrück;Stadt
49078;Niedersachsen;Osnabrück;Stadt
49080;Niedersachsen;Osnabrück;Stadt
49082;Niedersachsen;Osnabrück;Stadt
49084;Niedersachsen;Osnabrück;Stadt
49086;Niedersachsen;Osnabrück;Stadt
49088;Niedersachsen;Osnabrück;Stadt
49090;Niedersachsen;Osnabrück;Stadt
49124;Niedersachsen;Osnabrück;Kreis
49134;Niedersachsen;Osnabrück;Kreis
49143;Niedersachsen;Osnabrück;Kreis
49152;Niedersachsen;Osnabrück;Kreis
49163;Niedersachsen;Osnabrück;Kreis
49170;Niedersachsen;Osnabrück;Kreis
49176;Niedersachsen;Osnabrück;Kreis
49179;Niedersachsen;Osnabrück;Kreis
49186;Niedersachsen;Osnabrück;Kreis
49191;Niedersachsen;Osnabrück;Kreis
49196;Niedersachsen;Osnabrück;Kreis
49201;Niedersachsen;Osnabrück;Kreis
49205;Niedersachsen;Osnabrück;Kreis
49214;Niedersachsen;Osnabrück;Kreis
49219;Niedersachsen;Osnabrück;Kreis
49324;Niedersachsen;Osnabrück;Kreis
49326;Niedersachsen;Osnabrück;Kreis
49328;Niedersachsen;Osnabrück;Kreis
49356;Niedersachsen;Diepholz;Kreis
49377;Niedersachsen;Vechta;Kreis
49393;Niedersachsen;Vechta;Kreis
49401;Niedersachsen;Vechta;Kreis
49406;Niedersachsen;Diepholz;Kreis
49413;Niedersachsen;Vechta;Kreis
49419;Niedersachsen;Diepholz;Kreis
49424;Niedersachsen;Vechta;Kreis
49429;Niedersachsen;Vechta;Kreis
49434;Niedersachsen;Vechta;Kreis
49439;Niedersachsen;Vechta;Kreis
49448;Niedersachsen;Diepholz;Kreis
49451;Niedersachsen;Vechta;Kreis
49453;Niedersachsen;Diepholz;Kreis
49456;Niedersachsen;Vechta;Kreis
49457;Niedersachsen;Diepholz;Kreis
49459;Niedersachsen;Diepholz;Kreis
49565;Niedersachsen;Osnabrück;Kreis
49577;Niedersachsen;Osnabrück;Kreis
49584;Niedersachsen;Osnabrück;Kreis
49586;Niedersachsen;Osnabrück;Kreis
49593;Niedersachsen;Osnabrück;Kreis
49594;Niedersachsen;Osnabrück;Kreis
49596;Niedersachsen;Osnabrück;Kreis
49597;Niedersachsen;Osnabrück;Kreis
49599;Niedersachsen;Osnabrück;Kreis
49610;Niedersachsen;Osnabrück;Kreis
49624;Niedersachsen;Cloppenburg;Kreis
49626;Niedersachsen;Osnabrück;Kreis
49632;Niedersachsen;Cloppenburg;Kreis
49635;Niedersachsen;Osnabrück;Kreis
49637;Niedersachsen;Osnabrück;Kreis
49638;Niedersachsen;Osnabrück;Kreis
49661;Niedersachsen;Cloppenburg;Kreis
49681;Niedersachsen;Cloppenburg;Kreis
49685;Niedersachsen;Cloppenburg;Kreis
49688;Niedersachsen;Cloppenburg;Kreis
49692;Niedersachsen;Cloppenburg;Kreis
49696;Niedersachsen;Cloppenburg;Kreis
49699;Niedersachsen;Cloppenburg;Kreis
49716;Niedersachsen;Emsland;Kreis
49733;Niedersachsen;Emsland;Kreis
49740;Niedersachsen;Emsland;Kreis
49744;Niedersachsen;Emsland;Kreis
49751;Niedersachsen;Emsland;Kreis
49757;Niedersachsen;Emsland;Kreis
49762;Niedersachsen;Emsland;Kreis
49767;Niedersachsen;Emsland;Kreis
49770;Niedersachsen;Emsland;Kreis
49774;Niedersachsen;Emsland;Kreis
49777;Niedersachsen;Emsland;Kreis
49779;Niedersachsen;Emsland;Kreis
49808;Niedersachsen;Emsland;Kreis
49809;Niedersachsen;Emsland;Kreis
49811;Niedersachsen;Emsland;Kreis
49824;Niedersachsen;Grafschaft Bentheim;Kreis
49828;Niedersachsen;Grafschaft Bentheim;Kreis
49832;Niedersachsen;Emsland;Kreis
49835;Niedersachsen;Grafschaft Bentheim;Kreis
49838;Niedersachsen;Emsland;Kreis
49843;Niedersachsen;Grafschaft Bentheim;Kreis
49844;Niedersachsen;Emsland;Kreis
49846;Niedersachsen;Grafschaft Bentheim;Kreis
49847;Niedersachsen;Grafschaft Bentheim;Kreis
49849;Niedersachsen;Grafschaft Bentheim;Kreis
