osm_id;ags;ort;plz;landkreis;bundesland;Struktur;Lage;avg_preis;KontextLabel
1708067;3355004;Bardowick;21357;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;3200;überwiegend städtischzentral 
1944505;3355007;Barum;21357;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3200;ländlichzentral 
1944506;3355042;Wittorf;21357;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3200;ländlichzentral 
1392136;3355023;Mechtersen;21358;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3500;ländlichzentral 
1392134;3355039;Vögelsen;21360;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;3400;überwiegend städtischzentral 
1392133;3355001;Adendorf;21365;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;4100;überwiegend städtischzentral 
1924097;3355010;Boitze;21368;Landkreis Lüneburg;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1895692;3355012;Dahlem;21368;Landkreis Lüneburg;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1678375;3355013;Dahlenburg;21368;Landkreis Lüneburg;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1376687;3355025;Nahrendorf;21369;Landkreis Lüneburg;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1376693;3355037;Tosterglope;21371;Landkreis Lüneburg;Niedersachsen;ländlich;sehr peripher ;2700;ländlichsehr peripher 
310316;3353010;Eyendorf;21376;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3300;ländlichzentral 
310350;3353011;Garlstorf;21376;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3300;ländlichzentral 
310364;3353013;Gödenstorf;21376;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3300;ländlichzentral 
335206;3353030;Salzhausen;21376;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3300;ländlichzentral 
1978256;3355015;Echem;21379;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3050;ländlichzentral 
1978257;3355021;Lüdersburg;21379;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3050;ländlichzentral 
1978258;3355032;Rullstorf;21379;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3050;ländlichzentral 
1978259;3355033;Scharnebeck;21379;Landkreis Lüneburg;Niedersachsen;teilweise städtisch;zentral ;3050;teilweise städtischzentral 
1388559;3355003;Artlenburg;21380;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;2100;ländlichzentral 
1392130;3355011;Brietlingen;21382;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3800;ländlichzentral 
1846190;3355002;Amelinghausen;21385;Landkreis Lüneburg;Niedersachsen;ländlich;peripher ;2750;ländlichperipher 
1846191;3355027;Oldendorf (Luhe);21385;Landkreis Lüneburg;Niedersachsen;ländlich;peripher ;2750;ländlichperipher 
1846192;3355029;Rehlingen;21385;Landkreis Lüneburg;Niedersachsen;ländlich;peripher ;2750;ländlichperipher 
1383378;3355008;Betzendorf;21386;Landkreis Lüneburg;Niedersachsen;ländlich;peripher ;2950;ländlichperipher 
1246732;3355034;Soderstorf;21388;Landkreis Lüneburg;Niedersachsen;ländlich;peripher ;3200;ländlichperipher 
2420744;3355022;Lüneburg;21391;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;3700;überwiegend städtischzentral 
1392093;3355031;Reppenstedt;21391;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;3700;überwiegend städtischzentral 
1712797;3355020;Kirchgellersen;21394;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3750;ländlichzentral 
1709452;3355035;Südergellersen;21394;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3750;ländlichzentral 
1643401;3355041;Westergellersen;21394;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3750;ländlichzentral 
279236;3353033;Tespe;21395;Landkreis Harburg;Niedersachsen;teilweise städtisch;zentral ;3200;teilweise städtischzentral 
1944342;3355005;Barendorf;21397;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3150;ländlichzentral 
1944343;3355038;Vastorf;21397;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3150;ländlichzentral 
1387448;3355026;Neetze;21398;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3200;ländlichzentral 
1387436;3355030;Reinstorf;21400;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3000;ländlichzentral 
1387434;3355036;Thomasburg;21401;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3300;ländlichzentral 
1387429;3355040;Wendisch Evern;21403;Landkreis Lüneburg;Niedersachsen;teilweise städtisch;zentral ;3550;teilweise städtischzentral 
1846197;3355006;Barnstedt;21406;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3200;ländlichzentral 
1846198;3355024;Melbeck;21406;Landkreis Lüneburg;Niedersachsen;teilweise städtisch;zentral ;3200;teilweise städtischzentral 
1378227;3355014;Deutsch Evern;21407;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;3850;überwiegend städtischzentral 
1385857;3355016;Embsen;21409;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;2950;ländlichzentral 
308488;3353007;Drage;21423;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3650;ländlichzentral 
252882;3353040;Winsen (Luhe);21423;Landkreis Harburg;Niedersachsen;überwiegend städtisch;sehr zentral ;3650;überwiegend städtischsehr zentral 
252884;3353032;Stelle;21435;Landkreis Harburg;Niedersachsen;überwiegend städtisch;sehr zentral ;3850;überwiegend städtischsehr zentral 
305532;3353023;Marschacht;21436;Landkreis Harburg;Niedersachsen;teilweise städtisch;zentral ;3200;teilweise städtischzentral 
308513;3353004;Brackel;21438;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3500;ländlichzentral 
307326;3353024;Marxen;21439;Landkreis Harburg;Niedersachsen;teilweise städtisch;zentral ;3750;teilweise städtischzentral 
310355;3353012;Garstedt;21441;Landkreis Harburg;Niedersachsen;ländlich;zentral ;5350;ländlichzentral 
335213;3353034;Toppenstedt;21442;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3300;ländlichzentral 
335209;3353037;Vierhöfen;21444;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3200;ländlichzentral 
335212;3353042;Wulfsen;21445;Landkreis Harburg;Niedersachsen;teilweise städtisch;zentral ;3600;teilweise städtischzentral 
1392135;3355017;Handorf;21447;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3600;ländlichzentral 
1392132;3355028;Radbruch;21449;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;3600;ländlichzentral 
1948875;3355018;Hittbergen;21522;Landkreis Lüneburg;Niedersachsen;ländlich;zentral ;1450;ländlichzentral 
1948876;3355019;Hohnstorf (Elbe);21522;Landkreis Lüneburg;Niedersachsen;überwiegend städtisch;zentral ;1450;überwiegend städtischzentral 
279078;3359010;Buxtehude;21614;Landkreis Stade;Niedersachsen;überwiegend städtisch;zentral ;3350;überwiegend städtischzentral 
109821;3353026;Neu Wulmstorf;21629;Landkreis Harburg;Niedersachsen;überwiegend städtisch;zentral ;3850;überwiegend städtischzentral 
2420743;3359028;Jork;21635;Landkreis Stade;Niedersachsen;überwiegend städtisch;peripher ;3450;überwiegend städtischperipher 
444929;3359007;Bliedersdorf;21640;Landkreis Stade;Niedersachsen;teilweise städtisch;peripher ;3050;teilweise städtischperipher 
445840;3359027;Horneburg;21640;Landkreis Stade;Niedersachsen;überwiegend städtisch;peripher ;3050;überwiegend städtischperipher 
444928;3359033;Neuenkirchen;21640;Landkreis Stade;Niedersachsen;teilweise städtisch;peripher ;3050;teilweise städtischperipher 
444927;3359034;Nottensdorf;21640;Landkreis Stade;Niedersachsen;überwiegend städtisch;peripher ;3050;überwiegend städtischperipher 
446434;3359003;Apensen;21641;Landkreis Stade;Niedersachsen;ländlich;zentral ;3300;ländlichzentral 
446429;3359006;Beckdorf;21643;Landkreis Stade;Niedersachsen;ländlich;zentral ;3550;ländlichzentral 
446430;3359037;Sauensiek;21644;Landkreis Stade;Niedersachsen;ländlich;zentral ;3600;ländlichzentral 
306357;3353014;Halvesbostel;21646;Landkreis Harburg;Niedersachsen;ländlich;zentral ;2650;ländlichzentral 
303369;3353025;Moisburg;21647;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3100;ländlichzentral 
304947;3353028;Regesbostel;21649;Landkreis Harburg;Niedersachsen;ländlich;zentral ;3300;ländlichzentral 
444799;3359038;Stade;21680;Landkreis Stade;Niedersachsen;überwiegend städtisch;peripher ;3050;überwiegend städtischperipher 
444799;3359038;Stade;21682;Landkreis Stade;Niedersachsen;überwiegend städtisch;peripher ;3050;überwiegend städtischperipher 
444799;3359038;Stade;21683;Landkreis Stade;Niedersachsen;überwiegend städtisch;peripher ;3050;überwiegend städtischperipher 
445842;3359001;Agathenburg;21684;Landkreis Stade;Niedersachsen;ländlich;peripher ;3350;ländlichperipher 
444799;3359038;Stade;21684;Landkreis Stade;Niedersachsen;überwiegend städtisch;peripher ;3350;überwiegend städtischperipher 
446433;3359005;Bargstedt;21698;Landkreis Stade;Niedersachsen;ländlich;peripher ;3300;ländlichperipher 
446431;3359008;Brest;21698;Landkreis Stade;Niedersachsen;ländlich;peripher ;3300;ländlichperipher 
446428;3359023;Harsefeld;21698;Landkreis Stade;Niedersachsen;teilweise städtisch;peripher ;3300;teilweise städtischperipher 
446435;3359002;Ahlerstedt;21702;Landkreis Stade;Niedersachsen;ländlich;peripher ;2600;ländlichperipher 
444768;3359013;Drochtersen;21706;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;2250;ländlichsehr peripher 
445756;3359009;Burweg;21709;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;2750;ländlichsehr peripher 
444950;3359014;Düdenbüttel;21709;Landkreis Stade;Niedersachsen;ländlich;peripher ;2750;ländlichperipher 
444948;3359025;Himmelpforten;21709;Landkreis Stade;Niedersachsen;ländlich;peripher ;2750;ländlichperipher 
444947;3359015;Engelschoff;21710;Landkreis Stade;Niedersachsen;ländlich;peripher ;1950;ländlichperipher 
444946;3359019;Großenwörden;21712;Landkreis Stade;Niedersachsen;ländlich;peripher ;1950;ländlichperipher 
444949;3359022;Hammah;21714;Landkreis Stade;Niedersachsen;teilweise städtisch;peripher ;2550;teilweise städtischperipher 
445845;3359011;Deinste;21717;Landkreis Stade;Niedersachsen;ländlich;peripher ;3050;ländlichperipher 
445844;3359017;Fredenbeck;21717;Landkreis Stade;Niedersachsen;ländlich;peripher ;3050;ländlichperipher 
279222;3359020;Grünendeich;21720;Landkreis Stade;Niedersachsen;ländlich;peripher ;3000;ländlichperipher 
444925;3359021;Guderhandviertel;21720;Landkreis Stade;Niedersachsen;teilweise städtisch;peripher ;3000;teilweise städtischperipher 
444926;3359032;Mittelnkirchen;21720;Landkreis Stade;Niedersachsen;überwiegend städtisch;peripher ;3000;überwiegend städtischperipher 
444924;3359039;Steinkirchen;21720;Landkreis Stade;Niedersachsen;ländlich;peripher ;3000;ländlichperipher 
444923;3359026;Hollern-Twielenfleth;21723;Landkreis Stade;Niedersachsen;teilweise städtisch;peripher ;2850;teilweise städtischperipher 
445791;3359024;Heinbockel;21726;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;2100;ländlichsehr peripher 
445731;3359029;Kranenburg;21726;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;2100;ländlichsehr peripher 
445790;3359036;Oldendorf;21726;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;2100;ländlichsehr peripher 
445789;3359016;Estorf;21727;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;2000;ländlichsehr peripher 
446465;3359018;Freiburg (Elbe);21729;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;1200;ländlichsehr peripher 
446467;3359004;Balje;21730;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;1850;ländlichsehr peripher 
446466;3359030;Krummendeich;21732;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;2250;ländlichsehr peripher 
446463;3359035;Oederquart;21734;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;1750;ländlichsehr peripher 
446464;3359040;Wischhafen;21737;Landkreis Stade;Niedersachsen;ländlich;sehr peripher ;1700;ländlichsehr peripher 
445841;3359012;Dollern;21739;Landkreis Stade;Niedersachsen;ländlich;peripher ;2750;ländlichperipher 
444756;3352022;Hemmoor;21745;Landkreis Cuxhaven;Niedersachsen;teilweise städtisch;sehr peripher ;1800;teilweise städtischsehr peripher 
296199;3352020;Hechthausen;21755;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2200;ländlichsehr peripher 
444755;3352044;Osten;21756;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;3600;ländlichsehr peripher 
1520087;3352045;Osterbruch;21762;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2400;ländlichsehr peripher 
1518890;3352046;Otterndorf;21762;Landkreis Cuxhaven;Niedersachsen;überwiegend städtisch;sehr peripher ;2400;überwiegend städtischsehr peripher 
1520089;3352038;Neuenkirchen;21763;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;1850;ländlichsehr peripher 
1180040;3352041;Nordleda;21765;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;1950;ländlichsehr peripher 
1527157;3352002;Armstorf;21769;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1527085;3352024;Hollnseth;21769;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
445757;3352029;Lamstedt;21769;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
445758;3352036;Mittelstenahe;21770;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;1450;ländlichsehr peripher 
1180884;3352052;Stinstedt;21772;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;1950;ländlichsehr peripher 
1520088;3352025;Ihlienworth;21775;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1526888;3352043;Odisheim;21775;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1526889;3352051;Steinau;21775;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1180093;3352055;Wanna;21776;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;1850;ländlichsehr peripher 
6683573;3352063;Cadenberge;21781;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2000;ländlichsehr peripher 
1180881;3352008;Bülkau;21782;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;1700;ländlichsehr peripher 
1527084;3352004;Belum;21785;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;400;ländlichsehr peripher 
1527083;3352039;Neuhaus;21785;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;1400;ländlichsehr peripher 
1180888;3352042;Oberndorf;21787;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1180887;3352056;Wingst;21789;Landkreis Cuxhaven;Niedersachsen;ländlich;sehr peripher ;2250;ländlichsehr peripher 
62409;3403000;Oldenburg;26121;;Niedersachsen;überwiegend städtisch;zentral ;3600;überwiegend städtischzentral 
62409;3403000;Oldenburg;26122;;Niedersachsen;überwiegend städtisch;zentral ;3850;überwiegend städtischzentral 
62409;3403000;Oldenburg;26123;;Niedersachsen;überwiegend städtisch;zentral ;3600;überwiegend städtischzentral 
62409;3403000;Oldenburg;26125;;Niedersachsen;überwiegend städtisch;zentral ;3550;überwiegend städtischzentral 
62409;3403000;Oldenburg;26127;;Niedersachsen;überwiegend städtisch;zentral ;3600;überwiegend städtischzentral 
62409;3403000;Oldenburg;26129;;Niedersachsen;überwiegend städtisch;zentral ;3600;überwiegend städtischzentral 
62409;3403000;Oldenburg;26131;;Niedersachsen;überwiegend städtisch;zentral ;3600;überwiegend städtischzentral 
62409;3403000;Oldenburg;26133;;Niedersachsen;überwiegend städtisch;zentral ;3450;überwiegend städtischzentral 
62409;3403000;Oldenburg;26135;;Niedersachsen;überwiegend städtisch;zentral ;3600;überwiegend städtischzentral 
1186777;3451002;Bad Zwischenahn;26160;Landkreis Ammerland;Niedersachsen;teilweise städtisch;zentral ;2750;teilweise städtischzentral 
1109689;3453007;Friesoythe;26169;Landkreis Cloppenburg;Niedersachsen;ländlich;peripher ;2750;ländlichperipher 
1186789;3451005;Rastede;26180;Landkreis Ammerland;Niedersachsen;teilweise städtisch;zentral ;2700;teilweise städtischzentral 
1186750;3451004;Edewecht;26187;Landkreis Ammerland;Niedersachsen;teilweise städtisch;peripher ;2500;teilweise städtischperipher 
1186750;3451004;Edewecht;26188;Landkreis Ammerland;Niedersachsen;teilweise städtisch;peripher ;2500;teilweise städtischperipher 
1186883;3458007;Großenkneten;26197;Landkreis Oldenburg;Niedersachsen;ländlich;zentral ;2850;ländlichzentral 
1185589;3458013;Wardenburg;26203;Landkreis Oldenburg;Niedersachsen;teilweise städtisch;zentral ;2750;teilweise städtischzentral 
1185613;3458009;Hatten;26208;Landkreis Oldenburg;Niedersachsen;teilweise städtisch;zentral ;2850;teilweise städtischzentral 
1185613;3458009;Hatten;26209;Landkreis Oldenburg;Niedersachsen;teilweise städtisch;zentral ;2850;teilweise städtischzentral 
1186800;3451008;Wiefelstede;26215;Landkreis Ammerland;Niedersachsen;teilweise städtisch;zentral ;2700;teilweise städtischzentral 
1109690;3453002;Bösel;26219;Landkreis Cloppenburg;Niedersachsen;ländlich;peripher ;2150;ländlichperipher 
1187380;3455026;Varel;26316;Landkreis Friesland;Niedersachsen;teilweise städtisch;zentral ;2150;teilweise städtischzentral 
1187413;3455027;Zetel;26340;Landkreis Friesland;Niedersachsen;teilweise städtisch;peripher ;1650;teilweise städtischperipher 
1187412;3455025;Bockhorn;26345;Landkreis Friesland;Niedersachsen;teilweise städtisch;peripher ;2050;teilweise städtischperipher 
548851;3461005;Jade;26049;Landkreis Wesermarsch;Niedersachsen;ländlich;peripher ;2350;ländlichperipher 
548851;3461005;Jade;26349;Landkreis Wesermarsch;Niedersachsen;ländlich;peripher ;2350;ländlichperipher 
62444;3405000;Wilhelmshaven;26382;;Niedersachsen;überwiegend städtisch;peripher ;2150;überwiegend städtischperipher 
62444;3405000;Wilhelmshaven;26384;;Niedersachsen;überwiegend städtisch;peripher ;2150;überwiegend städtischperipher 
62444;3405000;Wilhelmshaven;26386;;Niedersachsen;überwiegend städtisch;peripher ;2150;überwiegend städtischperipher 
62444;3405000;Wilhelmshaven;26388;;Niedersachsen;überwiegend städtisch;peripher ;2150;überwiegend städtischperipher 
62444;3405000;Wilhelmshaven;26389;;Niedersachsen;überwiegend städtisch;peripher ;2150;überwiegend städtischperipher 
1187861;3462019;Wittmund;26409;Landkreis Wittmund;Niedersachsen;teilweise städtisch;peripher ;2150;teilweise städtischperipher 
1187787;3455015;Schortens;26419;Landkreis Friesland;Niedersachsen;überwiegend städtisch;peripher ;2050;überwiegend städtischperipher 
2012453;3462002;Dunum;26427;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;2700;ländlichsehr peripher 
2012454;3462003;Esens;26427;Landkreis Wittmund;Niedersachsen;überwiegend städtisch;sehr peripher ;2700;überwiegend städtischsehr peripher 
2012455;3462006;Holtgast;26427;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;2700;ländlichsehr peripher 
2012456;3462008;Moorweg;26427;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;2700;ländlichsehr peripher 
2012457;3462010;Neuharlingersiel;26427;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;2700;ländlichsehr peripher 
2012458;3462015;Stedesdorf;26427;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;2700;ländlichsehr peripher 
2012459;3462017;Werdum;26427;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;2700;ländlichsehr peripher 
1187768;3455020;Wangerland;26434;Landkreis Friesland;Niedersachsen;ländlich;sehr peripher ;2150;ländlichsehr peripher 
1187785;3455007;Jever;26441;Landkreis Friesland;Niedersachsen;überwiegend städtisch;peripher ;2100;überwiegend städtischperipher 
1187676;3462005;Friedeburg;26446;Landkreis Wittmund;Niedersachsen;ländlich;peripher ;1850;ländlichperipher 
1187754;3455014;Sande;26452;Landkreis Friesland;Niedersachsen;überwiegend städtisch;peripher ;1850;überwiegend städtischperipher 
1187509;3462007;Langeoog;26465;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;8000;ländlichsehr peripher 
1187507;3462014;Spiekeroog;26474;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;14200;ländlichsehr peripher 
1187506;3455021;Wangerooge;26486;Landkreis Friesland;Niedersachsen;ländlich;sehr peripher ;6900;ländlichsehr peripher 
2012363;3462001;Blomberg;26487;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;1750;ländlichsehr peripher 
2012366;3462011;Neuschoo;26487;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;1750;ländlichsehr peripher 
1202005;3462012;Ochtersum;26489;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;1750;ländlichsehr peripher 
898195;3452019;Norden;26506;Landkreis Aurich;Niedersachsen;teilweise städtisch;sehr peripher ;2850;teilweise städtischsehr peripher 
898199;3452003;Berumbur;26523;Landkreis Aurich;Niedersachsen;überwiegend städtisch;sehr peripher ;2100;überwiegend städtischsehr peripher 
898198;3452008;Hage;26524;Landkreis Aurich;Niedersachsen;überwiegend städtisch;sehr peripher ;2100;überwiegend städtischsehr peripher 
898197;3452009;Hagermarsch;26524;Landkreis Aurich;Niedersachsen;ländlich;sehr peripher ;2100;ländlichsehr peripher 
949622;3452010;Halbemond;26524;Landkreis Aurich;Niedersachsen;teilweise städtisch;sehr peripher ;2100;teilweise städtischsehr peripher 
898200;3452016;Lütetsburg;26524;Landkreis Aurich;Niedersachsen;überwiegend städtisch;sehr peripher ;2100;überwiegend städtischsehr peripher 
898640;3452015;Leezdorf;26529;Landkreis Aurich;Niedersachsen;überwiegend städtisch;peripher ;2000;überwiegend städtischperipher 
898641;3452017;Marienhafe;26529;Landkreis Aurich;Niedersachsen;überwiegend städtisch;peripher ;2000;überwiegend städtischperipher 
898642;3452021;Osteel;26529;Landkreis Aurich;Niedersachsen;teilweise städtisch;peripher ;2000;teilweise städtischperipher 
898639;3452022;Rechtsupweg;26529;Landkreis Aurich;Niedersachsen;überwiegend städtisch;peripher ;2000;überwiegend städtischperipher 
898638;3452024;Upgant-Schott;26529;Landkreis Aurich;Niedersachsen;teilweise städtisch;peripher ;2000;teilweise städtischperipher 
898637;3452026;Wirdum;26529;Landkreis Aurich;Niedersachsen;ländlich;peripher ;2000;ländlichperipher 
898630;3452007;Großheide;26532;Landkreis Aurich;Niedersachsen;teilweise städtisch;sehr peripher ;2000;teilweise städtischsehr peripher 
2456879;3452020;Norderney;26548;Landkreis Aurich;Niedersachsen;ländlich;sehr peripher ;2200;ländlichsehr peripher 
898629;3452027;Dornum;26553;Landkreis Aurich;Niedersachsen;ländlich;sehr peripher ;2400;ländlichsehr peripher 
2012364;3462004;Eversmeer;26556;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;2100;ländlichsehr peripher 
2012365;3462009;Nenndorf;26556;Landkreis Wittmund;Niedersachsen;ländlich;sehr peripher ;2100;ländlichsehr peripher 
